ID,UUID,SECURITY_CODE,SECURITY_NAME,ACCOUNTING_YEAR,DATA_YEAR,IS_DELETE,CONTEXTREF,CREATETIME,REPORT_TYPE,STAMP,PAGE_INDEX,SOURCE_URL,CFME00000M,CFME00010M,CFME00020M,CFME00030M,CFME00040M,CFME00050M,CFME00060M,CFME00070M,CFME00080M,CFME00090M,CFME00100M,CFME00110M,CFME00120M,CFME00130M,CFME00140M,CFME00150M,CFME00160M,CFME00170M,CFME00180M,CFME00190M,CFME00200M,CFME00210M,CFME00220M,CFME00230M,CFME00240M,CFME00250M,CFME00260M,CFME00270M,CFME00280M,CFME00290M,CFME00300M,CFME00310M,CFME00320M,CFME00330M,CFME00340M,CFME00350M,CFME00360M,CFME00370M,CFME00380M,CFME00390M,CFME00400M,CFME00410M,CFME00420M,CFME00430M,CFME00440M,CFME00450M,CFME00460M,CFME00470M,CFME00480M,CFME00490M,CFME00500M,CFME00510M,CFME00520M,CFME00530M,CFME00540M,CFME00550M,CFME00560M,CFME00570M,CFME00580M,CFME00590M,CFME00600M,CFME00610M,CFME00620M,CFME00630M,CFME00640M,CFME00650M,CFME00660M,CFME00670M,CFME00680M,CFME00690M,CFME00700M,CFME00710M,CFME00720M,CFME00730M,CFME00740M,CFME00750M,CFME00760M,CFME00770M,CFME00780M,CFME00790M,CFME00800M,CFME00810M,CFME00820M,CFME00830M,CFME00840M,CFME00850M,CFME00860M,CFME00870M,CFME00880M,CFME00890M,CFME00900M,CFME00910M,CFME00920M,CFME00930M,CFME00940M,CFME00950M,CFME00960M,CFME00970M,CFME00980M,CFME00990M,CFME01000M,CFME01010M,CFME01020M,CFME01030M,CFME01040M,CFME01050M,CFME01060M,CFME01070M,CFME01080M,CFME01090M,CFME01100M,CFME01110M,CFME01120M,CFME01130M,CFME01140M,CFME01150M,CFME01160M,CFME01170M,CFME01180M,CFME01190M,CFME01200M,CFME01210M,CFME01220M,CFME01230M,CFME01240M,CFME01250M,CFME01260M,CFME01270M,CFME01280M,CFME01290M,CFME01300M,CFME01310M,CFME01320M,CFME01330M,CFME01340M,CFME01350M,CFME01360M,CFME01370M,CFME01380M,CFME01390M,CFME01400M,CFME01410M,CFME01420M,CFME01430M,CFME01440M,CFME01450M,CFME01460M,CFME01470M,CFME01480M,CFME01490M,CFME01500M,CFME01510M,CFME01520M,CFME01530M,CFME01540M,CFME01550M,CFME01560M,CFME01570M,CFME01580M,CFME01590M,CFME01600M,CFME01610M,CFME01620M,CFME01630M,CFME01640M,CFME01650M,CFME01660M,CFME01670M,CFME01680M,CFME01690M,CFME01700M,CFME01710M,CFME01720M,CFME01730M,CFME01740M,CFME01750M,CFME01760M,CFME01770M,CFME01780M,CFME01790M,CFME01800M,CFME01810M,CFME01820M,CFME01830M,CFME01840M,CFME01850M,CFME01860M,CFME01870M,CFME01880M,CFME01890M,CFME01900M,CFME01910M,CFME01920M,CFME01930M,CFME01940M,CFME01950M,CFME01960M,CFME01970M,CFME01980M,CFME01990M,CFME02000M,CFME02010M,CFME02020M,CFME02030M,CFME02040M,CFME02050M,CFME02060M,CFME02070M,CFME02080M,CFME02090M,CFME02100M,CFME02110M,CFME02120M,CFME02130M,CFME02140M
120273,5edde74142b457a4a7d283d40f13ebd3,430005,原子高科,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/4,年度报告,2019/2/28,55,http://www.neeq.com.cn/disclosure/2018/2018-04-04/1522827986_509040.pdf,,1,612621230.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17726587.57,,630347818.3,320531921.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129797316.3,,,,89450240.51,,,,,11785904.59,,551565383.3,78782435.02,1,,,,,74722345,,10000,9853026.12,,,17767575.25,,,,102352946.4,,,,,,17927921.01,,,91235000,,,,,,,,,,,,12858000,,122020921,-19667974.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86164000,,,,,,,,,,,,,,86164000,-86164000,-89415.9,-27138955.52,147993419.3,,,120854463.7,,
120274,5edde74142b457a4a7d283d40f13ebd3,430005,原子高科,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/4,年度报告,2019/2/28,55,http://www.neeq.com.cn/disclosure/2018/2018-04-04/1522827986_509040.pdf,,1,552171074.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960909.39,,556131983.7,311705729.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122994107.1,,,,76563699.31,,,,,10926971.55,,522190507.7,33941475.99,1,,,,,70441666.58,,,1496063.87,,,3287500,,,,75225230.45,,,,,,16399824.64,,,10375000,,,,,,,,,,,,10730000,,37504824.64,37720405.81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66280000,,,,,,,,,,,,,,66280000,-66280000,90025.47,5471907.27,142521512,,,147993419.3,,
42739,5edde74142b457a4a7d283d40f13ebd3,430005,原子高科,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/4,年度报告,2019/2/27,53,http://www.neeq.com.cn/disclosure/2018/2018-04-04/1522827986_509040.pdf,,1,932613887.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468364.13,,,,,20706589.88,,953788841.5,400932719.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172962295,,,,147817351.9,,,,,48261156.93,,769973523.7,183815317.8,1,,,,,34000000.7,,117435,,,,1658924.11,,,,35776359.81,,,,,,109724472.2,,,,,,,,,,,,,,,6885881.04,,116610353.3,-80833993.46,1,32375000,32375000,,,,,,,,,,,,,,,,,32375000,,,,,,,,,,105045004.7,,,18881004,,,,,,,2500000,,,,107545004.7,-75170004.7,-103337.84,27707981.83,323151577.1,,,350859558.9,,
42740,5edde74142b457a4a7d283d40f13ebd3,430005,原子高科,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/4,年度报告,2019/2/27,53,http://www.neeq.com.cn/disclosure/2018/2018-04-04/1522827986_509040.pdf,,1,840441259.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456666.05,,,,,9095102.72,,851993028.2,396584394.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165428673.3,,,,130339423,,,,,51666643.15,,744019133.7,107973894.5,1,,,,,35000000,,84500,1496063.87,,,4578518.01,,,,41159081.88,,,,,,48813336.05,,,,,,,,,,,,,,,1163863.2,,49977199.25,-8818117.37,1,2175000,2175000,,,,,,,,,,,,,,,,,2175000,,,,,,,,,,84040714.24,,,17760714.26,,,,,,,,,,,84040714.24,-81865714.24,94015.84,17384078.77,305767498.3,,,323151577.1,,
132697,39c4d1ef338c5ebeb7b80b2972c477e2,430009,华环电子,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/2,年度报告,2019/2/28,50,http://www.neeq.com.cn/disclosure/2018/2018-04-02/1522654786_992463.pdf,,1,164666911.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8223120.36,,,,,7074713.92,,179964745.6,115019599.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45057129.55,,,,16604065.93,,,,,26089594.03,,202770388.6,-22805642.99,1,,,,,,,42771.01,21000000,,,,,,,21042771.01,,,,,,16263799.94,,,1000000,,,,,,,,,,,,,,17263799.94,3778971.07,1,14575890,,,,,18400000,,,,,,,,,,890968.29,,,33866858.29,,,25000000,,,,,,,932969.24,,,,,,,,,,2066609.34,,,,27999578.58,5867279.71,-306177.9,-13465570.11,52234385.89,,,38768815.78,,
132698,39c4d1ef338c5ebeb7b80b2972c477e2,430009,华环电子,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/2,年度报告,2019/2/28,50,http://www.neeq.com.cn/disclosure/2018/2018-04-02/1522654786_992463.pdf,,1,197270997.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6688186.79,,,,,6752979.45,,210712163.6,121231632.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46298086.91,,,,17760878.18,,,,,10967743.3,,196258340.5,14453823.09,1,,11985000,,,,,18300,,,,,,,,12003300,,,,,,11067059.06,,,,,,,,,,,,,,,79143.74,,11146202.8,857097.2,1,,,,,,26000000,,,,,,,,,,,,,26000000,,,25000000,,,,,,,2357861.73,,,,,,,,,,,,,,27357861.73,-1357861.73,-155109.19,13797949.37,38436436.52,,,52234385.89,,
52663,39c4d1ef338c5ebeb7b80b2972c477e2,430009,华环电子,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/2,年度报告,2019/2/27,49,http://www.neeq.com.cn/disclosure/2018/2018-04-02/1522654786_992463.pdf,,1,175885667.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8223120.36,,,,,7672776.2,,191781563.6,109516954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59060101.89,,,,18407346.36,,,,,27982661.38,,214967063.6,-23185499.94,1,,,,,,,45116.01,20997626.63,,,,,,,21042742.64,,,,,,16850219.35,,,,,,,,,,,,,,,,,16850219.35,4192523.29,1,14575890,,,,,18400000,,,,,,,,,,890968.29,,,33866858.29,,,25000000,,,,,,,932969.24,,,,,,,,,,2066609.34,,,,27999578.58,5867279.71,-306177.9,-13431874.84,52873960.92,,,39442086.08,,
52664,39c4d1ef338c5ebeb7b80b2972c477e2,430009,华环电子,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/2,年度报告,2019/2/27,49,http://www.neeq.com.cn/disclosure/2018/2018-04-02/1522654786_992463.pdf,,1,211842116.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6688186.79,,,,,6906362.29,,225436665.9,120360805.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60136898.69,,,,20053322.92,,,,,11641491.69,,212192518.6,13244147.25,1,,11985000,,,,,18300,,,,,,,,12003300,,,,,,11219946.06,,,,,,,,,,,,,,,79143.74,,11299089.8,704210.2,1,,,,,,26000000,,,,,,,,,,,,,26000000,,,25000000,,,,,,,2357861.73,,,,,,,,,,,,,,27357861.73,-1357861.73,-155109.19,12435386.53,40438574.39,,,52873960.92,,
89013,bc4aa30e142454c8b8e399cc55423f17,430010,ST现代,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/26,年度报告,2019/2/27,58,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524731030_616945.pdf,,1,118573342.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.42,,,,,39000348.72,,157575181.5,76103982.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35756644.39,,,,4438235.38,,,,,62295596.65,,178594458.7,-21019277.16,1,,11230945.9,,,9002680,,100200,,,,,,,,20333825.9,,,,,,1367159.32,,,,,,,,,,,,,,,,,1367159.32,18966666.58,1,,,,,,163000000,,,,,,,,,,180577839.7,,,343577839.7,,,155000000,,,,,,,13482354.14,,,,,,,,,,174970000,,,,343452354.1,125485.6,,-1927124.98,10476326.48,,,8549201.5,,
89014,bc4aa30e142454c8b8e399cc55423f17,430010,ST现代,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/26,年度报告,2019/2/27,58,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524731030_616945.pdf,,1,184509214.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339171.49,,,,,134618705.7,,319467092.1,166539719.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34466867.19,,,,2622290.33,,,,,100211574.5,,303840451.7,15626640.42,1,,,,,21077081.25,,213,,,,,,,,21077294.25,,,,,,1713878.5,,,44648051.96,,,,,,,,,,,,,,46361930.46,-25284636.21,1,,,,,,306100000,,,,,,,,,,50000000,,,356100000,,,406000000,,,,,,,14252721.92,,,,,,,,,,,,,,420252721.9,-64152721.92,,-73810717.71,84287044.19,,,10476326.48,,
18111,bc4aa30e142454c8b8e399cc55423f17,430010,ST现代,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/26,年度报告,2019/2/27,56,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524731030_616945.pdf,,1,1139655205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595501.13,,,,,45372623.72,,1187623330,831071824.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137173911.4,,,,53906727.45,,,,,73145209.92,,1095297673,92325656.33,1,,,,,,,2184297.31,-5278261.23,,,,,,,-3093963.92,,,,,,70493592.52,,,6025329.75,,,,,,,,,,,,,,76518922.27,-79612886.19,1,,,,,,462435444.6,,,,,,,,,,458500876.8,,,920936321.5,,,437009192.6,,,,,,,68810953.42,,,,,,,,,,431210207.6,,,,937030353.6,-16094032.13,-166026.09,-3547288.08,48848169.72,,,45300881.64,,
18112,bc4aa30e142454c8b8e399cc55423f17,430010,ST现代,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/26,年度报告,2019/2/27,56,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524731030_616945.pdf,,1,1363409395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5103025.68,,,,,154095297.5,,1522607719,1045986228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150172280.7,,,,55546573.29,,,,,107339580.7,,1359044662,163563056.1,1,,,,,,,1603819,-16145168.18,,,,,,,-14541349.18,,,,,,78478866.2,,,,,,,,,,,,,,,,,78478866.2,-93020215.38,1,,,,,,1243500000,,,,,,,,,,287833896,,,1531333896,,,1380500000,,,,,,,82372673.54,,,,,,,,,,275664021.4,,,,1738536695,-207202799,280638.4,-136379319.8,185227489.6,,,48848169.72,,
146137,110afd1ee6125e53bc934202355b0c62,430011,指南针,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/2/12,年度报告,2019/2/28,58,http://www.neeq.com.cn/disclosure/2018/2018-02-12/1518421033_104011.pdf,,1,693991652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102396,,696094048,37909803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32697338,,,,41200013,,,,,468524427,,580331581,115762467,1,,2611967762,,,,,20600,,,,,,,,2611988362,,,,,,97221088,,,2700500000,,,,,,,,,,,,18600,,2797739688,-185751326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69988859,421372050,,,351383191,,
